Catogory,Body
PROMOTION,"Dear Firebird, Take your fashion quotient up a notch with our newest Tech Pro collection at a nearest Blackberrys store. Click to know more bit.ly/3LvAZti"
PROMOTION,"JioFiber! A One Stop Shop for your Entertainment Needs. Watch a variety of Genres from Comedy, Crime, Documentaries, Thrillers, Drama, Action, History, Horror & much more with 14 OTT Apps. Plans start at just Rs. 599/Month. Click www.jio.com/r/v5cH6iyxa to book your JioFiber plan Now!"
PROMOTION,Wedding & Celebration Collection by GRT Jewellers. Visit to Witness Stunning Designs. bit.ly/3NAa7Lq
PROMOTION,Wedding & Celebration Collection by GRT Jewellers. Visit to Witness Stunning Designs. bit.ly/3NAa7Lq
PROMOTION,"Mr/Ms BALAJI,Thangamayil Summer Sale, 30gms Silver free for every 10gms of Gold* & Gift for every 1 Lakh purchase. Code 0WYBI Valid 31May bit.ly/SmRO23"
TRANSACTION,"Dear BALAJI, 
One prescription but multiple pharmacy runs? No more! This payday, get 2-hr* delivery of medicines. Tap https://yivt.in/t4hr8j Apollo24|7"
TRANSACTION,Dear balaji FriendsForever! Thank you for your monthly advance amount of 3500 towards group code and membership no RAB - 7576. Did you checkout our new arrivals online at grtjewels.com/newarrivals. Use coupon code NEW500 to get Rs.500 off on Jewellery purchase above Rs.3999. Call or WAPP 7358251515.  T&C*
TRANSACTION,Dear balaji FriendsForever! Thank you for your monthly advance amount of 1500 towards group code and membership no RAB - 7577. Did you checkout our new arrivals online at grtjewels.com/newarrivals. Use coupon code NEW500 to get Rs.500 off on Jewellery purchase above Rs.3999. Call or WAPP 7358251515.  T&C*
TRANSACTION,Dear balaji FriendsForever! Thank you for your monthly advance amount of 3500 towards group code and membership no RAB - 7576. Did you checkout our new arrivals online at grtjewels.com/newarrivals. Use coupon code NEW500 to get Rs.500 off on Jewellery purchase above Rs.3999. Call or WAPP 7358251515.  T&C*
TRANSACTION,Dear balaji FriendsForever! Thank you for your monthly advance amount of 1500 towards group code and membership no RAB - 7577. Did you checkout our new arrivals online at grtjewels.com/newarrivals. Use coupon code NEW500 to get Rs.500 off on Jewellery purchase above Rs.3999. Call or WAPP 7358251515.  T&C*
TRANSACTION,Dear balaji FriendsForever! Thank you for your monthly advance amount of 25500 towards group code and membership no RAB - 7574. Did you checkout our new arrivals online at grtjewels.com/newarrivals. Use coupon code NEW500 to get Rs.500 off on Jewellery purchase above Rs.3999. Call or WAPP 7358251515.  T&C*
TRANSACTION,Dear balaji FriendsForever! Thank you for your monthly advance amount of 25500 towards group code and membership no RAB - 7574. Did you checkout our new arrivals online at grtjewels.com/newarrivals. Use coupon code NEW500 to get Rs.500 off on Jewellery purchase above Rs.3999. Call or WAPP 7358251515.  T&C*
PROMOTION,"S.M.S Thanga Maligai
Tomorrow shop open 10Am to 2pm 
Gold :5690
Silver :82.40
Coin :5815
Aruppukottai.
04566-220471,
9750970479
www.smsthangamaligai.com"
PROMOTION,Airtel 5G Plus is now live in your city. Join 10 million Airtel customers on 5G to enjoy up to 30X faster speeds & improved network coverage. Enjoy 5G speeds by recharging with Rs 19 for 1GB for a day. u.airtel.in/rch3.
TRANSACTION,"TicketNew Confirmation no is 153308/196918473 , PQDDEAAR on Sun 07/05 10:30 AM Executive Tkts-7 Theatre KLAS MAX SCREENS Thank you Seat-CC6 - 12 Ponniyin Selvan 2 (U/A) - Tamil, Cinema-Klas Max Screens - Aruppukkottai"
PROMOTION,"Dear BALAJI, 
Participate in the Quiz Hour - Power Edition & stand a chance to earn 100 Health Credits. Tap to play https://yivt.in/QHTbzc Apollo 24|7"
PROMOTION,"Dear Customer, Vijay Sethupathi's latest Blockbuster 'Viduthalai' is rated 8.5 on IMDB! RENEW & get Rs.400 OFF on your ZEE5 Premium https://bit.ly/42bBQGN"
PROMOTION,"Get Access To 550+ Live TV Channels, with content categories like News, Music, Sports, Entertainment Devotional, Movies,Business & much more.Use the Jio Remote to Play, Pause & Rewind any Channel. Find any content with Voice Search'. 
Click www.jio.com/r/v5yrKNDHf to book JioFiber Now! Plans start at just Rs 599/Month."
PROMOTION,"Hey BALAJI, Your personal loan offer of Rs.400000 from KreditBee partnered with FinBud is expiring soon on Tuesday. Apply Now http://f49.bz/hshAzH"
PROMOTION,"Combo of 2 postpaid SIMs, 40 Mbps Wi-Fi, & 12+ OTTs for just Rs 998! Add Airtel Fiber to your current Postpaid plan today. i.airtel.in/GetFiber"
PROMOTION,"Dear BALAJI,
Use your 100 Health Credits to book 2 Apollo Full Body packages. Get FLAT 25% OFF on the 2nd. Code: FULLBODY25. Tap https://yivt.in/r5atWc"
PROMOTION,Airtel 5G Plus is now live in your city. Join 10 million Airtel customers on 5G to enjoy up to 30X faster speeds & improved network coverage. Enjoy 5G speeds by recharging with Rs 19 for 1GB for a day. u.airtel.in/rch3.
PROMOTION,"Dear Patron,Celebrate Wedding & Festivities with Avantra By Trends. Get up to 20% Off* on shopping of Rs.4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
TRANSACTION,PDS Bill 56340523000041 Saree-1.0No/Dhoti-1.0No issued on 08.05.2023 for Rs.0.0/-. To complain forward to 9773904050 - TNEPDS
PROMOTION,"Dekhe Bindiya aur Payal ka masoom rishta naye show Suhaagan mein JioTV par
https://bit.ly/SMSJioTV4"
PROMOTION,"Get Access To 550+ Live TV Channels, with content categories like News, Music, Sports, Entertainment Devotional, Movies,Business & much more.Use the Jio Remote to Play, Pause & Rewind any Channel. Find any content with Voice Search'. 
Click www.jio.com/r/v5Vz6CcS0 to book JioFiber Now! Plans start at just Rs 599/Month."
PROMOTION,GLUCON D ...  and 1 other medicine are due for order. Pls visit nearby MedPlus Store or call 040-67006700 or re-order at https://mdpls.in/l990eo.
PROMOTION,Briha by GRT-An exquisite range of jewelry inspired & crafted by the art & architecture of the Cholas. Explore at your nearest GRT showroom. bit.ly/3KM7piP
PROMOTION,Last chance to redeem your gift! Your Rs. 500 Shaya Voucher CSMU3TBX expires today. Redeem Now on Silver Jewellery worth over Rs. 1500: bit.ly/41fiVtd
PROMOTION,Briha by GRT-An exquisite range of jewelry inspired & crafted by the art & architecture of the Cholas. Explore at your nearest GRT showroom. bit.ly/3KM7piP
PROMOTION,"Get Access To 550+ Live TV Channels, with content categories like News, Music, Sports, Entertainment Devotional, Movies,Business & much more.Use the Jio Remote to Play, Pause & Rewind any Channel. Find any content with Voice Search'. 
Click www.jio.com/r/v6grptVmK to book JioFiber Now! Plans start at just Rs 599/Month."
TRANSACTION,A/c *6069 Credited for Rs.1000 on 09-05-2023 13:01:32 by Mob Bk ref no 312999651072 Avl Bal Rs:62909.8 -Union Bank of India
PROMOTION,"Dear Customer, are savings important to you? Open a Zero Balance Savings Account with Kotak811 now: https://k811.in/4IMeju -KBank"
PROMOTION,"Dear Customer,

Sell your car at a GREAT PRICE.

Get instant quote & quick RC Transfer!

Miss call: 9319977102
Or
Click: http://gmg.im/eklvCD -CARS24"
PROMOTION,"Get Access To 550+ Live TV Channels, with content categories like News, Music, Sports, Entertainment Devotional, Movies,Business & much more.Use the Jio Remote to Play, Pause & Rewind any Channel. Find any content with Voice Search'. 
Click www.jio.com/r/v6Bi6fexb to book JioFiber Now! Plans start at just Rs 599/Month."
PROMOTION,Your Wednesday KFC treat! Get a flat 58% OFF on Wednesday Strips Bucket of 12 Chicken Strips & 4 dips! Order now bit.ly/3HWUHgt TnC*
PROMOTION,"Mr/Ms BALAJI,Thangamayil Summer Sale, 30gms Silver free for every 10gms of Gold* & Gift for every 1 Lakh purchase. Code 0WYBI Valid 31May bit.ly/SmRO23"
PROMOTION,"Hi, our engineer SarveshB§Adroit with mobile number 08123929274 is wanting to connect with you for the Airtel Xstream Fiber connection update."
TRANSACTION,"PNR:4802176551,TRN:12625,DOJ:20-05-23,SL,CBE-NDLS,DP:20:55,Boarding at CBE only,
MATHANAGOPAL,RLWL 56,
Fare:905,C Fee:17.7+PG
QR Code URL qr.indianrail. -IRCTC"
PROMOTION,Smart Savings at Apollo Pharmacy! Free Shower to Shower Talc On Medicine Purchase worth Rs.600 & More. Other Exciting Offers Click: https://bit.ly/3cz5aCx *T&C
PROMOTION,"Dear Investor, Please download your account statement for the recent transactions under folio 23164298 from link http://sms.iciciprumf.com/9bNL9596 The link is valid for 6 days. To know the steps to open the statement, click here. http://sms.iciciprumf.com/RgmXvRv5 - IPRUMF"
PROMOTION,"Dear Patron,Celebrate Wedding & Festivities with Avantra By Trends. Get up to 20% Off* on shopping of Rs.4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,"Dear customer, We are glad to invite you to Dyson in-store Expert Styling Masterclass on May 13th and 14th at Vasanth & co, North Usman road, Call 93335 93335"
PROMOTION,"For us,every day is special as we get to adorn you for it, join us for an exclusive Exhibition of Chains (May 12-30th) at Tanishq 100 ft Road,Velachery store.Ph 9282113317 T&C"
PROMOTION,We miss you   MAX FASHION! Here's an exclusive offer for you GET Flat 10% OFF on full price Max merchandise Usecode: EW3RN4 Valid for 20/05/2023. Shop today! TnC
PROMOTION,"Dear Member, Stock up on your summer essentials with Himalaya Wellness & earn add. 10% points on min. bill of INR 500. Hurry! Offer valid till: 31 May'23. T&C"
PERSONAL,"Dear Customer, +918778345108 is now available to take calls."
TRANSACTION,"Dear Honda Customer, Your FSC Code to avail Free service is 327041. Kindly share with your dealer - Honda 2W."
PROMOTION,BALAJI Get Rs.1000 OFF on a purchase of Rs. 7500 or more at Titan World. Use PIN 1000141946077539 & CODE 196116 TC  mm7.in/MTPlBFx_Y3sE
PROMOTION,"S.M.S Thanga Maligai
Tomorrow shop open 10Am to 2pm..
Gold :5690
Silver :78.50
Coin :5815
Aruppukottai.
04566-220471,
9750970479
www.smsthangamaligai.com"
TRANSACTION,"You have earned 127 HC on your last transaction at Honda on 14-May, Current HC Bal. 2615. To avail benefit download the App http://onelink.to/947545  or call us at 1800-532-2555 - Honda Joy Club."
TRANSACTION,"You have earned 109 HC on your last transaction at Honda on 14-May, Current HC Bal. 2724. To avail benefit download the App http://onelink.to/947545  or call us at 1800-532-2555 - Honda Joy Club."
PROMOTION,Dear Patron.This Mother's Day show your love with a beautiful saree from Avantra. Use Code RTRRXIKHNX3105. Valid till 31May.Visit  bit.ly/3pONwh8. T&C
PROMOTION,"Dear Customer, Want to sell your car? Visit http://m.cars24.sh/w2q1YLr1nCm for a FANTASTIC deal and instant payment! Call +919355875183 today! - Cars24"
PROMOTION,"Dear Customer, get upto Rs. 200000 limit on pre-approved Bajaj Finserv RBL Bank Credit Card. Apply Now & get instant approval 
http://m.BajFin.in/TsQKdkAg
 TnC"
PROMOTION,"Dear Patron,Celebrate Wedding & Festivities with Avantra By Trends. Get up to 20% Off* on shopping of Rs.4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,"In an active war zone, Bear Grylls Meets President Zelenskyy. Watch the amazing documentary on JioTV now
https://bit.ly/SMSJioTV4"
PROMOTION,"Hi Balaji, pTron TWS Earbuds worth Rs 3999 just for Rs 849 + Extra 10% coupon, exclusively for you! Shop on Tata Neu https://tneu.in/JNgKzTZR T&C apply"
PROMOTION,"Dear customer, Your special discount of upto Rs.3000 purchase at grtjewels.com will expire soon, Wapp ""Hi"" to t.ly/wLEK  T&C"
PROMOTION,"Dear customer, Your special discount of upto Rs.3000 purchase at grtjewels.com will expire soon, Wapp ""Hi"" to t.ly/wLEK  T&C"
PROMOTION,"Dear Patron,Celebrate Wedding & Festivities with Avantra By Trends. Get up to 20% Off* on shopping of Rs.4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,"Dear Patron,Celebrate Wedding & Festivities with Avantra By Trends. Get up to 20% Off* on shopping of Rs.4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,Airtel 5G Plus is now live in your city. Join 10 million Airtel customers on 5G to enjoy up to 30X faster speeds & improved network coverage. Enjoy 5G speeds by recharging with Rs 19 for 1GB for a day. u.airtel.in/rch3.
PROMOTION,Now use your 226 Points earned via HDFC Times Points Debit Card to get FREE premium audio @Pocket FM. *T&C https://bit.ly/3W888QR
PROMOTION,Your Wednesday KFC treat! Get a flat 58% OFF on Wednesday Strips Bucket of 12 Chicken Strips and 4 dips! Order now bit.ly/3Mx0PPs TnC
TRANSACTION,"Dear Customer, Payee SappLoan has been added successfully and will be activated after 1mins, Reference ID 313721392825. You can initiate fund transfer once payee is activated. -Union Bank of India"
TRANSACTION,"Dear Customer, Payee SappLoan has been added successfully and will be activated after 1mins, Reference ID 313721392825. You can initiate fund transfer once payee is activated. -Union Bank of India"
PROMOTION,Airtel 5G Plus is now live in your city. Join 10 million Airtel customers on 5G to enjoy up to 30X faster speeds & improved network coverage. Enjoy 5G speeds by recharging with Rs 19 for 1GB for a day. u.airtel.in/rch3.
PROMOTION,Wedding & Celebration Collection by GRT Jewellers. Visit to Witness Stunning Designs. bit.ly/3NAa7Lq
PROMOTION,"Your TenderCuts elite subscription has expired, please renew now to unlock free deliveries & exclusive discounts."
TRANSACTION,"PNR:4148706574,TRN:16160,DOJ:20-05-23,SL,CBE-MS,DP:15:45,Boarding at CBE only,
MATHANAGOPAL,S6 29,
Fare:850,C Fee:17.7+PG
QR Code URL qr.indianrail.gov. -IRCTC"
PROMOTION,"Urgent !!!

For the benefit of customers, locker agreement has been revised basis RBI direction.
Kindly re-submit your agreement for HDFC Bank Locker no 116 at your Locker Branch. Don't forget to sign this when you're visiting the branch along with other holders. Please
ignore if already submitted"
PROMOTION,We are eager to know your feedback on the usage of MyJio app. Please click www.jio.com/r/LgOP485n0 to share your feedback.
PROMOTION,"Hi Balaji, OnePlus Bullets Z2 Neckband from Rs 1799 + Extra 10% coupon, exclusively for you! Shop now on Tata Neu https://tneu.in/fhr6ltpm T&C apply"
TRANSACTION,PNR 4802176551 ticket cancelled. Amt 845 will be refunded within 3-4 days. Please check your account/instrument from which this tkt was booked.-IRCTC
TRANSACTION,"Dear Customer, Balance in your A/C XX6203 as on 20-05-2023 is Rs. 167.60. BANK WILL NEVER ASK FOR OTP. bit.ly/IPPB-MBApp Download App-IPPB"
PROMOTION,"Mr/Ms BALAJI,Thangamayil Summer Sale, 30gms Silver free for every 10gms of Gold* & Gift for every 1 Lakh purchase. Code 0WYBI Valid 31May bit.ly/SmRO23"
PROMOTION,"BALAJI, Shop for your styling & gifting needs with FLAT 20% + 10% OFF at Titan World. Explore Titan Raga, Edge, Tommy TC mm7.in/MjCrAO42yjIE"
PROMOTION,"Dear Passenger,
You can get food delivered at train seat for your MS trip with IRCTC eCatering: http://ir-ctc.in/4148706574 -IRCTC"
PROMOTION,"Hi Balaji, Split ACs from LG, Voltas & more from Rs 23990 + Extra Rs 1000 off + Exchange upto Rs 4000. Shop on Tata Neu https://tneu.in/wiBPE7TO T&C apply"
PERSONAL,"Dear Customer, You have a missed call from +919047221076 The last missed call was at 02:18 PM on 20-May-2023 Thankyou, Team Jio."
PROMOTION,"Package of 2 postpaid SIMs, 40 Mbps Wi-Fi, & 12+ OTTs for just Rs 998! Add Airtel Fiber to your current Postpaid plan today. i.airtel.in/GetFiber"
PROMOTION,Airtel 5G Plus is now live in your city. Join 10 million Airtel customers on 5G to enjoy up to 30X faster speeds & improved network coverage. Enjoy 5G speeds by recharging with Rs 19 for 1GB for a day. u.airtel.in/rch3.
PROMOTION,"Shine brighter with Mia by Tanishq's Gift Voucher worth Rs 5000/- (No.1005266015893339 PIN.199343) Visit your nearest Mia or Tanishq stores to avail this on the purchase of Mia diamond jewellery worth Rs 30,000/- or more. Gift Voucher valid till 31st May 23 ,T&C Apply."
PROMOTION,"21.05.23 Shop open 10Am to 2pm 
Gold :5680
Silver :79.00
Coin :5805
S.M.S Thanga Maligai
Aruppukottai.
04566-220471,
9750970479
www.smsthangamaligai.com"
PROMOTION,"Hello Customer, Your id  is selected as our VIP customer. Get 10000rs joining bonus now open  https://wa.me/ 254789174357 --Online Dekho Team"
TRANSACTION,A/c *6069 Credited for Rs.1 on 21-05-2023 15:12:39 by Mob Bk ref no 314117993280 Avl Bal Rs:66674.8 -Union Bank of India
PROMOTION,Your A/c has been credited with...First Salary gifts! Gift a CaratLane to celebrate the one who always puts you first. Shop now: http://1kx.in/TbCpb7
TRANSACTION,A/c *6069 Credited for Rs.250 on 21-05-2023 19:31:37 by Mob Bk ref no 314125533748 Avl Bal Rs:66924.8 -Union Bank of India
PROMOTION,"Hey BALAJI , Your loan money of up to Rs 9 Lakh is ready. With Airtel Flexi Credit, avail low interest rates, no paperwork & get loan disbursed within minutes. Apply Now i.airtel.in/DMILLPM"
PROMOTION,"Dear Customer, Get HITECH 'NALAM' Health package @just Rs.1799/- Book home visit-  Call 9150699499 / https://bit.ly/3Me0YHn"
PROMOTION,Come & experience the latest exquisite collection at your nearest GRT Jewellers showroom and redefine your style.  bit.ly/2MEEgw7. T&C Apply
PROMOTION,"Dear Customer, want to save without the pressure of monthly balance? Switch to Kotak811 zero balance account now: https://kotk.in/9bM47P -KBank"
PROMOTION,"Dear sir, Get BANK OD upto 5 CRORES Under Govt CGTMSE Scheme in 7 Days. Min 3 Cr Turnover in FY 22-23. Mr.Vignesh 9087123888 BANK STAFF MSME FINANCE T&C"
PROMOTION,"Dear customer, your Honda 2 wheeler is due for service. For Booking or more information call-8939890476/9566281464.Maansarovar Honda."
,
PROMOTION,Machi get flat 58% off on KFC Peri Peri Strips Bucket da! Order now and enjoy KFC Chicken Veliyea crunchy Ullae juicy! bit.ly/3MQPTLB TnC
PROMOTION,"Hope you and your family are safe. Please do not drive your car in flooded areas. Incase, your car is submerged in water, do not start the car and tow it to nearest workshop. Choose parking spaces away from trees/lamp posts as they may cause damage to your car incase of falling. Team HDFC ERGO"
PROMOTION,"Hope you and your family are safe. Please do not drive your car in flooded areas. Incase, your car is submerged in water, do not start the car and tow it to nearest workshop. Choose parking spaces away from trees/lamp posts as they may cause damage to your car incase of falling. Team HDFC ERGO"
TRANSACTION,"Jio Number 9363626200 booked by you for TN is available till 06-06-2023 06:47 PM
Transaction ID : CN000000IF8H
Booking Code : 4BDC8FCDC9
To activate, visit nearest Jio Store/Retailer or book home delivery by giving a missed call on 7000070000."
PROMOTION,"Transaction Done! Rs.45,000 is credited in your Direct A/c on 25-may-2023 Download and Withdraw it now:- tk.p2r.in/ehOZaT3aK SKYLED"
PROMOTION,"This #PlatinumSeasonOfLove, celebrate with rare platinum Jewellery from GRT Jewellers. Know more: shorturl.at/beIS2"
PROMOTION,"Dear Customer, EXTRA BENEFIT on your Pre-Qualified Flipkart Axis Bank Credit Card. 5% Cashback on all txns. NO INCOME DOC REQURIED!

http://fkrt.it/OZjLPENNNN"
PERSONAL,"Dear Customer, You have a missed call from +918248563027 The last missed call was at 09:30 AM on 26-May-2023 Thankyou, Team Jio."
PERSONAL,"Dear Customer, You have a missed call from +918248563027 The last missed call was at 09:33 AM on 26-May-2023 Thankyou, Team Jio."
TRANSACTION,"Jio Number 9363626200 booked by you for TN is available till 06-06-2023 06:47 PM
Transaction ID : CN000000IF8H
Booking Code : 4BDC8FCDC9
To activate, visit nearest Jio Store/Retailer or book home delivery by giving a missed call on 7000070000."
PROMOTION,"Dear Patron,Celebrate Weddings&Festivities with Avantra By Trends. Get exciting offers&gifts on shopping of 4999 & above. Click bit.ly/3pONwh8 to visit us. T&C"
PROMOTION,Introducing TRINKA Collection by ORIANA from GRT. A range of intricate & beautiful designs for everyday wear for all 7 days of the week. bit.ly/3pIDy3U
PROMOTION,"Dear BALAJI T, Your HDFC Bank Virtual RM - Mohammed Thoufeeq had tried reaching you! Please call back on 04226660223 for all your Banking needs between 9.30 AM to 6.30 PM (except Sundays and Bank holidays).
To save your RM's contact, click here - hdfcbk.io/a/AZYNK43w .
Here's a list of pre-approved offers made especially for your needs!
To find out more hdfcbk.io/a/pykwd2M6"
